PIDM,ERM_INITIAL_SCORE,ERM_CURRENT_SCORE,ERM_SCORE
2149522,70,70,40
2149684,48,63,15
2149772,56,100,40
2149781,59,59,30
2149830,48,76,25
2149843,68,68,40
2149951,34,34,10
2150170,65,65,40
2150205,58,58,30
2150417,43,43,10
2150629,58,58,30
2150898,65,65,40
2151001,52,52,25
2151127,62,62,30
2151659,62,100,40
2152036,61,65,30
2152038,60,65,30
2152058,65,90,40
2152068,58,58,30
2152075,52,52,25
2152100,43,72,15
2152142,43,65,15
2152148,73,99,40
2152380,62,81,30
2152415,59,73,30
2152504,61,63,30
2152733,57,57,30
2152798,75,75,40
2152824,62,62,30
2152828,55,100,40
2152833,53,61,25
2153455,73,73,40
2153559,58,97,40
2153957,70,71,40
2154011,71,71,40
2154165,59,99,40
2154261,66,66,40
2154460,52,76,25
2154518,42,63,10
2154519,43,43,10
2154936,60,60,30
2155005,68,75,40
2155016,66,66,40
2155033,59,59,30
2155034,49,49,15
2155081,69,69,40
2155109,70,70,40
2155338,59,59,30
2155345,69,69,40
2155665,57,100,40
2155726,68,100,40
2155768,72,74,40
2155868,49,63,15
2155989,75,75,40
2156111,44,44,10
2156119,72,72,40
2156148,37,57,10
2156213,51,100,30
2156260,61,61,30
2156397,62,62,30
2156416,51,51,15
2156456,56,56,30
2156771,45,45,15
2157052,71,71,40
2157157,56,56,30
2157408,58,58,30
2157560,46,46,15
2157621,59,59,30
2157719,75,75,40
2157820,68,68,40
2157955,60,60,30
2158028,68,68,40
2158048,70,100,40
2158089,60,60,30
2158246,73,73,40
2158261,53,58,25
2158274,63,63,30
2158276,66,66,40
2158310,65,100,40
2158482,66,66,40
2158501,72,74,40
2158531,59,59,30
2158691,64,97,40
2158769,51,61,15
2158808,46,46,15
2158824,72,74,40
2158939,49,49,15
2158963,74,74,40
2159072,64,81,30
2159230,63,63,30
2159389,40,56,10
2159584,70,72,40
2160166,71,72,40
2160173,73,73,40
2160298,75,100,40
2160544,66,66,40
2160620,61,67,30
2160893,64,97,40
2160925,40,62,10
2161198,63,97,40
2161645,58,64,30
2161882,70,70,40
2161903,44,44,10
2161921,73,100,40
2161981,65,66,40
2162007,58,58,30
2162052,51,78,30
2162132,59,59,30
2162160,44,44,10
2162560,64,64,30
2162569,69,69,40
2162639,53,53,25
2162658,61,61,30
2162699,60,66,30
2162934,47,47,15
2163156,72,72,40
2163174,66,72,40
2163219,58,58,30
2163304,66,66,40
2163399,71,71,40
2163436,72,100,40
2163509,65,97,40
2163607,51,75,25
2163616,52,73,25
2163663,71,71,40
2163681,53,57,25
2164447,72,74,40
2164648,49,49,15
2164843,35,35,10
2165220,64,64,30
2165317,44,44,10
2165338,53,53,25
2165456,53,53,25
2165545,69,69,40
2165597,54,54,25
2165694,73,73,40
2165799,52,52,25
2165863,62,null,30
2165939,51,68,15
2166153,48,48,15
2166170,62,97,40
2166195,42,42,10
2166298,49,49,15
2166538,55,55,30
2166696,52,52,25
2166765,51,51,15
2166922,54,54,25
2167034,55,100,40
2167082,47,78,30
2167088,63,100,40
2167097,56,56,30
2167105,66,97,40
2167441,54,54,25
2167467,72,84,40
2167682,45,45,15
2167757,39,39,10
2167759,54,66,25
2167778,55,55,30
2167792,64,97,40
2167803,72,72,40
2167850,55,99,40
2167877,64,99,40
2167907,64,100,40
2167927,73,73,40
2167928,63,63,30
2167935,56,null,30
2167989,57,57,30
2168000,69,70,40
2168012,59,59,30
2168014,53,100,40
2168022,68,68,40
2168045,62,62,30
2168056,57,70,30
2168058,65,65,40
2168071,59,59,30
2168121,51,51,15
2168127,65,65,40
2168180,66,66,40
2168223,57,57,30
2168236,45,45,15
2168243,56,56,30
2168262,44,62,10
2168313,72,72,40
2168364,59,59,30
2168394,57,72,30
2168439,70,74,40
2168460,68,68,40
2168461,56,56,30
2168466,57,57,30
2168499,44,57,10
2168531,66,66,40
2168581,69,69,40
2168592,71,71,40
2168607,58,58,30
2168621,51,80,30
2168646,63,63,30
2168666,60,60,30
2168670,48,48,15
2168694,39,100,25
2168729,54,54,25
2168739,65,65,40
2168786,69,69,40
2168857,45,45,15
2168871,57,57,30
2168903,73,73,40
2168905,66,66,40
2168942,71,null,40
2169051,64,64,30
2169129,57,57,30
2169183,46,46,15
2169231,48,48,15
2169235,54,54,25
2169348,64,97,40
2169430,53,71,25
2169469,68,68,40
2169499,46,78,30
2169518,71,71,40
2169524,74,null,40
2169548,68,68,40
2169553,51,51,15
2169632,69,69,40
2169641,49,49,15
2169690,58,59,30
2169698,66,66,40
2169862,57,57,30
2169960,70,100,40
2170024,48,48,15
