Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
85863,2424977,202330,-3178014,202330.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,T,UG,,,,,,,,,,-3178014,2023-01-10 01:31:36,2023-01-10 01:31:36,ZCMP,400.032,,,,-3178014,202330,MZZ,202330EOT,Z,151Q,1,M,L,UG,4,RW,C+,Unsuccessful,151Q,400,2424977_151Q_202330,40.0
85865,2424993,202370,-3178030,202370.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,N,UG,2023.0,6.0,3.8,1250.0,610.0,640.0,,,,-3178030,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,500.002,,,,-3178030,202370,MZZ,202370EOT,Z,171Q,12,M,L,UG,4,RE,B,Successful,171Q,500,2424993_171Q_202370,
85866,2425015,202370,-3178049,202370.0,Bachelor of Arts,PSCI,College of Letters & Science,Political Science,N,UG,2023.0,5.0,2.6,,,,,,,-3178049,2023-06-21 01:32:28,2023-06-21 01:32:28,ZCMP,300.032,-3178049.0,HSM50,C-,-3178049,202370,MZZ,202370EOT,Z,105Q,2,M,L,UG,3,W,W,Unsuccessful,105Q,290,2425015_105Q_202370,30.0
85871,2425036,202370,-3178068,202370.0,Bachelor of Science,ANTH,College of Letters & Science,Anthropology,N,UG,2023.0,6.0,3.66,,,,,,,-3178068,2023-05-30 01:33:13,2023-05-30 01:33:13,ZCMP,150.032,,,,-3178068,202370,MZZ,202370EOT,ZGC,105Q,905,M,L,UG,3,RW,A,Successful,Combo1,150,2425036_105Q_202370,15.0
85875,2425038,202270,-3178070,202270.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,T,UG,,,,,,,25.0,25.0,26.0,-3178070,2022-08-23 01:35:42,2022-08-23 01:35:42,ZCMP,400.001,,,,-3178070,202270,MZZ,202270EOT,Z,216Q,10,STAT,L,UG,3,RW,C+,Unsuccessful,216Q,300,2425038_216Q_202270,
85878,2425040,202370,-3178072,202370.0,Bachelor of Science,COMP,College of Engineering,Computer Engineering,N,UG,2023.0,6.0,3.58,1180.0,590.0,590.0,,,,-3178072,2023-05-10 01:34:22,2023-05-10 01:34:22,ZCMP,450.064,-3178072.0,HSM80,A,-3178072,202370,MZZ,202370EOT,Z,171Q,92,M,L,UG,4,RE,B,Successful,171Q,500,2425040_171Q_202370,40.0
85881,2425122,202370,-3178147,202370.0,Bachelor of Science,US,University College,University Studies,N,UG,,,3.89,,,,23.0,22.0,24.0,-3178147,2023-06-30 01:32:31,2023-06-30 01:32:31,ZCMP,300.001,,,,-3178147,202370,MZZ,202370EOT,Z,121Q,14,M,L,UG,3,RE,B,Successful,121Q,300,2425122_121Q_202370,30.0
85883,2425153,202370,-3178177,202370.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,N,UG,2023.0,6.0,3.48,,,,27.0,17.0,25.0,-3178177,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,400.001,-3178177.0,HSM80,B-,-3178177,202370,MZZ,202370EOT,Z,171Q,10,M,L,UG,4,RW,B-,Successful,171Q,500,2425153_171Q_202370,
85885,2425155,202370,-3178179,202370.0,Bachelor of Science,US,University College,University Studies,N,UG,2023.0,5.0,3.67,1070.0,520.0,550.0,,,,-3178179,2023-06-15 01:33:23,2023-06-15 01:33:23,ZCMP,300.006,-3178179.0,HSM60,B,-3178179,202370,MZZ,202370EOT,Z,105Q,2,M,L,UG,3,RW,B+,Successful,105Q,290,2425155_105Q_202370,
85888,2425167,202370,-3178191,202370.0,Bachelor of Science,AGFR,College of Agriculture,Agricultural Business,N,UG,,,3.16,1180.0,630.0,580.0,23.0,31.0,19.0,-3178191,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,300.002,,,,-3178191,202370,MZZ,202370EOT,ZGC,121Q,908,M,L,UG,3,W,W,Unsuccessful,Combo3,250,2425167_121Q_202370,30.0
85891,2425203,202370,-3178227,202370.0,Bachelor of Science,BUFN,College of Business,Business,T,UG,,,,,,,,,,-3178227,2023-05-11 01:32:26,2023-05-11 01:32:26,ZCMP,400.032,,,,-3178227,202370,MZZ,202370EOT,Z,161Q,14,M,L,UG,4,RW,A,Successful,161Q,400,2425203_161Q_202370,40.0
85894,2425236,202370,-3178249,202370.0,Bachelor of Science,COMP,College of Engineering,Computer Engineering,N,UG,2023.0,6.0,3.3,,,,21.0,21.0,20.0,-3178249,2023-07-27 01:32:27,2023-07-27 01:32:27,ZCMP,400.032,-3178249.0,HSM60,,-3178249,202370,MZZ,202370EOT,Z,151Q,12,M,L,UG,4,RE,D,Unsuccessful,151Q,400,2425236_151Q_202370,40.0
